Title,Publication Year,Journal Name,DOI
"Re-examining virtual water transfer in the Yellow River Basin, China",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101971
Hydrological drought assessment of the Yellow River Basin based on non-stationary model,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101974
Significant contribution of bias correction methods to uncertainty in future runoff projections under CMIP6 climate change,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101973
"Prediction of summer precipitation via machine learning with key climate variables：A case study in Xinjiang, China",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101964
"An advanced approach for drinking water quality indexing and health risk assessment supported by machine learning modelling in Siwa Oasis, Egypt",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101967
Hydrological and hydrodynamic modelling for flood management: A case study of the Yamuna River Basin in Delhi,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101960
Assessment of monthly to daily streamflow disaggregation methods: A case study of the Nile River Basin,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101969
Egypt's water future: AI predicts evapotranspiration shifts across climate zones,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101968
Precipitation-elevation relationship: Non-linearity and space–time variability prevail in the Swiss Alps,2024,Journal of Hydrology X,10.1016/j.hydroa.2024.100186
How much X is in XAI: Responsible use of “Explainable” artificial intelligence in hydrology and water resources,2024,Journal of Hydrology X,10.1016/j.hydroa.2024.100185
"Spatial and temporal analysis and trends of extreme precipitation over the Mississippi River Basin, USA during 1988–2017",2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101954
Sensitivity of montane grassland water fluxes to warming and elevated CO<inf>2</inf> from local to catchment scale: A case study from the Austrian Alps,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101970
Influence of submarine groundwater discharge on the nutrient dynamics of a fringing-reef lagoon,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101956
Combining the digital filtering method with the SWAT model to simulate spatiotemporal variations of baseflow in a mountainous river basin,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101972
Runoff variation and its attribution analysis in the typical basin of Loess Plateau at multiple temporal and spatial scales,2024,Journal of Hydrology: Regional Studies,10.1016/j.ejrh.2024.101963
